Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
0,1.0784599047845684,5.0,6.0,5,2001
540,1.1638565010981357,6.0,6.0,5,2001
7295,1.3719081203531827,6.0,6.0,5,2001
0,0.9711186029390955,5.0,5.0,5,2002
36,1.1529040186055621,4.0,5.0,5,2002
191,1.2542641902488707,4.0,5.0,5,2002
983,1.4160153950471435,5.0,5.0,5,2002
0,0.9425763268819367,5.0,7.0,5,2003
21,1.297455309270726,5.0,7.0,5,2003
101,1.382320719709368,6.0,7.0,5,2003
1497,1.430574515404749,7.0,7.0,5,2003
0,1.0058988546191294,5.0,5.0,5,2004
40,1.2085883929002486,5.0,5.0,5,2004
0,1.0391545692059603,5.0,8.0,5,2005
30,1.3090179657844256,5.0,8.0,5,2005
696,1.3506671847824137,6.0,8.0,5,2005
848,1.4488927895747614,7.0,8.0,5,2005
5449,1.4840742983007027,8.0,8.0,5,2005
5450,1.4488927895747614,7.0,8.0,5,2005
5451,1.4840742983007027,8.0,8.0,5,2005
0,0.8572331482859761,5.0,6.0,5,2006
23,1.1531266851652389,5.0,6.0,5,2006
81,1.1773789597162136,6.0,6.0,5,2006
119,1.2724704980234391,6.0,6.0,5,2006
0,1.0989965451399555,5.0,4.002,5,2007
144,1.205888481310187,4.0,4.002,5,2007
231,1.2164006037854165,5.0,4.002,5,2007
232,1.205888481310187,4.0,4.002,5,2007
264,1.2164006037854165,5.0,4.002,5,2007
277,1.205888481310187,4.0,4.002,5,2007
278,1.2164006037854165,5.0,4.002,5,2007
293,1.3065519322571373,5.0,4.002,5,2007
782,1.3972120814029052,4.0,4.002,5,2007
0,1.0824028358490485,5.0,6.998,5,2008
58,1.2785117785260651,5.0,6.998,5,2008
17169,1.3570153626782486,6.0,6.998,5,2008
17171,1.2785117785260651,5.0,6.998,5,2008
17172,1.3570153626782486,6.0,6.998,5,2008
18872,1.4086569263781517,7.0,6.998,5,2008
18873,1.3570153626782486,6.0,6.998,5,2008
18875,1.4086569263781517,7.0,6.998,5,2008
18876,1.3570153626782486,6.0,6.998,5,2008
18885,1.4086569263781517,7.0,6.998,5,2008
0,0.8852059039753425,5.0,5.998,5,2009
24,1.141168583201064,5.0,5.998,5,2009
39,1.23638772112688,5.0,5.998,5,2009
1261,1.2738029276045844,5.0,5.998,5,2009
16100,1.3339327419175204,6.0,5.998,5,2009
16119,1.53967754313986,6.0,5.998,5,2009
0,0.8840053564129061,5.0,4.002,5,2010
42,1.0071607138526057,5.0,4.002,5,2010
43,1.0809654901307688,5.0,4.002,5,2010
529,1.354129796131577,4.0,4.002,5,2010
0,1.0450509890908106,5.0,5.0,5,2011
54,1.3072454615092814,5.0,5.0,5,2011
0,0.9255124751932033,5.0,8.0,5,2012
39,1.112569275970306,5.0,8.0,5,2012
301,1.1486619228183272,6.0,8.0,5,2012
419,1.2364938930833562,6.0,8.0,5,2012
3680,1.3291534915355292,7.0,8.0,5,2012
27554,1.4944983884378322,8.0,8.0,5,2012
0,0.9273628201742616,5.0,6.0,5,2013
58,1.1228401713138039,6.0,6.0,5,2013
393,1.222798390068401,7.0,6.0,5,2013
10166,1.2417547489245506,6.0,6.0,5,2013
0,1.012254649296792,5.0,6.0,5,2014
51,1.1659475973312432,5.0,6.0,5,2014
179,1.2740315229181016,5.0,6.0,5,2014
1198,1.3240407550107722,5.0,6.0,5,2014
2850,1.4235236547137295,6.0,6.0,5,2014
0,0.9474216311079205,5.0,6.0,5,2015
41,1.148112032730343,5.0,6.0,5,2015
202,1.296668971657688,6.0,6.0,5,2015
0,0.8227821564213395,5.0,5.0,5,2016
21,1.2199383696342863,5.0,5.0,5,2016
1093,1.433632553407829,4.0,5.0,5,2016
1919,1.5238514506981058,5.0,5.0,5,2016
1921,1.433632553407829,4.0,5.0,5,2016
1922,1.5238514506981058,5.0,5.0,5,2016
0,1.086514950177536,5.0,5.0,5,2017
26,1.3870098573374008,5.0,5.0,5,2017
2844,1.4522608444169822,4.0,5.0,5,2017
2893,1.821077615096247,5.0,5.0,5,2017
0,0.9980405272801578,5.0,4.0,5,2018
73,1.266527440923177,4.0,4.0,5,2018
0,1.1546354325168502,5.0,5.0,5,2019
1130,1.3309154466377058,5.0,5.0,5,2019
1389,1.3977864171632366,6.0,5.0,5,2019
1841,1.663555439017374,5.0,5.0,5,2019
0,1.0008114029591633,5.0,6.002,5,2020
47,1.2157734160370433,5.0,6.002,5,2020
341,1.37633444980839,6.0,6.002,5,2020
0,1.0761787437992907,5.0,5.0,5,2021
56,1.2259184009655866,5.0,5.0,5,2021
0,1.0803538672359143,5.0,6.007,5,2022
3448,1.2226353270361257,6.0,6.007,5,2022
0,1.0096877285711423,5.0,6.0,5,2023
42,1.2135373141980486,6.0,6.0,5,2023
1553,1.3716306576290447,5.0,6.0,5,2023
1699,1.4825153607156591,6.0,6.0,5,2023
1788,1.5820551828159743,6.0,6.0,5,2023
0,0.9181597403116022,5.0,6.0,5,2024
49,1.076236272965217,5.0,6.0,5,2024
223,1.1281534460778961,5.0,6.0,5,2024
232,1.2067246577712856,6.0,6.0,5,2024
622,1.2333794128993898,6.0,6.0,5,2024
0,0.9763100996627249,5.0,6.0,5,2025
32,1.2367268205318358,6.0,6.0,5,2025
0,1.1049025412520723,5.0,5.0,5,2026
76,1.2259957506172325,5.0,5.0,5,2026
102,1.4525321618853235,5.0,5.0,5,2026
0,0.916326814302697,5.0,5.0,5,2027
25,1.1856554144818903,5.0,5.0,5,2027
32994,1.3488108602938607,6.0,5.0,5,2027
33447,1.3783178424954274,5.0,5.0,5,2027
0,0.9620728096485358,5.0,7.0,5,2028
42,1.1748433394693405,5.0,7.0,5,2028
71,1.4213800852661502,6.0,7.0,5,2028
15393,1.7041217672057256,7.0,7.0,5,2028
0,0.7916383505359191,5.0,8.0,5,2029
22,1.1616627103685384,6.0,8.0,5,2029
122,1.2284978353584715,7.0,8.0,5,2029
123,1.1616627103685384,6.0,8.0,5,2029
125,1.2284978353584715,7.0,8.0,5,2029
580,1.328336132941628,8.0,8.0,5,2029
0,1.0668404813092036,5.0,4.999,5,2030
85,1.2111666896232725,5.0,4.999,5,2030
14232,1.3819588617572154,6.0,4.999,5,2030
15957,1.4414881625698215,5.0,4.999,5,2030
0,0.9869328294263953,5.0,6.003,5,2031
89,1.2534313119121823,5.0,6.003,5,2031
100,1.300085152348127,5.0,6.003,5,2031
102,1.2534313119121823,5.0,6.003,5,2031
103,1.300085152348127,5.0,6.003,5,2031
429,1.438518245877957,6.0,6.003,5,2031
0,0.9637855009804831,5.0,6.153,5,2032
33,1.2846708095303927,5.0,6.153,5,2032
372,1.4302910348148887,6.0,6.153,5,2032
0,0.729056724472216,5.0,8.001,5,2033
14,1.1322192145625627,4.0,8.001,5,2033
36,1.2042495479273108,5.0,8.001,5,2033
374,1.3920816706924664,6.0,8.001,5,2033
2971,1.4024126733477296,7.0,8.001,5,2033
2974,1.3920816706924664,6.0,8.001,5,2033
2975,1.4024126733477296,7.0,8.001,5,2033
8245,1.4130843600512175,8.0,8.001,5,2033
8266,1.4024126733477296,7.0,8.001,5,2033
8267,1.4130843600512175,8.0,8.001,5,2033
8270,1.4024126733477296,7.0,8.001,5,2033
8271,1.4130843600512175,8.0,8.001,5,2033
0,1.0457585032821635,5.0,4.0,5,2034
448,1.1649011717785305,5.0,4.0,5,2034
946,1.2146812374842952,4.0,4.0,5,2034
984,1.2226486181178495,4.0,4.0,5,2034
1656,1.2524673805079807,3.0,4.0,5,2034
1774,1.3705574781571779,4.0,4.0,5,2034
0,1.126106306560089,5.0,6.0,5,2035
80,1.2161703865858684,5.0,6.0,5,2035
217,1.3407618087539608,6.0,6.0,5,2035
0,0.9966635917432879,5.0,3.003,5,2036
53,1.1178873330337527,5.0,3.003,5,2036
91,1.197068163827396,5.0,3.003,5,2036
133,1.215035783599011,6.0,3.003,5,2036
167,1.3725815631838274,4.0,3.003,5,2036
1297,1.4564722089651319,3.0,3.003,5,2036
0,1.0665456879299628,5.0,6.0,5,2037
60,1.2817712413231213,5.0,6.0,5,2037
449,1.4407308000398544,6.0,6.0,5,2037
0,0.9880846826451519,5.0,8.0,5,2038
87,1.0989759087731423,6.0,8.0,5,2038
148,1.2170804761690168,6.0,8.0,5,2038
540,1.2293111565112993,7.0,8.0,5,2038
896,1.2851733835971153,8.0,8.0,5,2038
0,0.8324317790740651,5.0,5.001,5,2039
32,1.047785742734178,5.0,5.001,5,2039
41,1.3320561529159247,6.0,5.001,5,2039
49094,1.5113469850426622,5.0,5.001,5,2039
0,1.0211770598710361,5.0,3.999,5,2040
64,1.1466076359435389,6.0,3.999,5,2040
3072,1.1802813218099226,6.0,3.999,5,2040
4663,1.2546233017742525,5.0,3.999,5,2040
46182,1.3278927236195686,4.0,3.999,5,2040
0,1.006370794882296,5.0,6.0,5,2041
35,1.148414528767604,6.0,6.0,5,2041
436,1.1644575819810608,6.0,6.0,5,2041
463,1.148414528767604,6.0,6.0,5,2041
476,1.1644575819810608,6.0,6.0,5,2041
477,1.148414528767604,6.0,6.0,5,2041
480,1.1644575819810608,6.0,6.0,5,2041
481,1.148414528767604,6.0,6.0,5,2041
482,1.1644575819810608,6.0,6.0,5,2041
