Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
0,0.8487081750168939,5.0,6.0,5,3001
27,1.0968772005024419,5.0,6.0,5,3001
397,1.116973836256358,5.0,6.0,5,3001
695,1.18242403241394,6.0,6.0,5,3001
698,1.3553566133775319,6.0,6.0,5,3001
0,1.0110888438868968,5.0,5.0,5,3002
44,1.260700674183245,5.0,5.0,5,3002
0,1.1252175124711907,5.0,4.0,5,3003
8709,1.2856415349547656,6.0,4.0,5,3003
11298,1.2904598523389257,5.0,4.0,5,3003
11299,1.2856415349547656,6.0,4.0,5,3003
11358,1.2904598523389257,5.0,4.0,5,3003
11372,1.2856415349547656,6.0,4.0,5,3003
11373,1.2904598523389257,5.0,4.0,5,3003
11422,1.2856415349547656,6.0,4.0,5,3003
11430,1.2904598523389257,5.0,4.0,5,3003
11976,1.372961720329972,4.0,4.0,5,3003
0,0.8750164998016481,5.0,4.997,5,3004
50,1.0513778115174093,6.0,4.997,5,3004
73,1.197532943678935,5.0,4.997,5,3004
90,1.384034667642792,6.0,4.997,5,3004
2865,1.4154548771817075,5.0,4.997,5,3004
0,1.2268561565018143,5.0,8.0,5,3005
1635,1.2452314055760565,5.0,8.0,5,3005
1647,1.2268561565018143,5.0,8.0,5,3005
1648,1.2452314055760565,5.0,8.0,5,3005
1649,1.2268561565018143,5.0,8.0,5,3005
1650,1.2452314055760565,5.0,8.0,5,3005
1939,1.414497246343475,6.0,8.0,5,3005
28775,1.4471893490411643,7.0,8.0,5,3005
28777,1.414497246343475,6.0,8.0,5,3005
28784,1.4471893490411643,7.0,8.0,5,3005
29256,1.524220993122766,8.0,8.0,5,3005
0,1.049416128604554,5.0,5.001,5,3006
36,1.2761451012802387,4.0,5.001,5,3006
92,1.3377647286018395,4.0,5.001,5,3006
207,1.429926289978135,5.0,5.001,5,3006
0,1.259102955778795,5.0,7.0,5,3007
473,1.298198381638924,5.0,7.0,5,3007
1155,1.3589949616922692,6.0,7.0,5,3007
2779,1.4341837893580875,7.0,7.0,5,3007
23533,1.48977018623684,7.0,7.0,5,3007
26497,1.5387866531430303,8.0,7.0,5,3007
30277,1.587486902225547,7.0,7.0,5,3007
30279,1.5387866531430303,8.0,7.0,5,3007
30280,1.587486902225547,7.0,7.0,5,3007
0,1.0532954113495803,5.0,5.002,5,3008
57,1.1687982751388628,5.0,5.002,5,3008
102,1.2281913655584689,5.0,5.002,5,3008
230,1.440517360582453,6.0,5.002,5,3008
7472,1.4661670353268295,5.0,5.002,5,3008
0,1.1165484215482684,5.0,6.0,5,3009
102,1.196060375275114,5.0,6.0,5,3009
128,1.2946208736890623,5.0,6.0,5,3009
22061,1.3657613029742064,4.0,6.0,5,3009
23179,1.4554260856051482,5.0,6.0,5,3009
23489,1.6294375810282389,6.0,6.0,5,3009
0,1.323200093255318,5.0,6.001,5,3010
2321,1.4178969199733384,5.0,6.001,5,3010
3062,1.5483245768054295,6.0,6.001,5,3010
0,1.136202151493364,5.0,7.004,5,3011
116,1.2017367257767322,5.0,7.004,5,3011
173,1.3083059918420568,6.0,7.004,5,3011
243,1.6483016490852855,7.0,7.004,5,3011
0,0.8954252808124333,5.0,7.002,5,3012
37,1.2380751454366339,6.0,7.002,5,3012
5823,1.3001812350430142,7.0,7.002,5,3012
0,1.018702232017546,5.0,7.0,5,3013
74,1.1696477818306628,5.0,7.0,5,3013
76,1.1000975474722494,5.0,7.0,5,3013
77,1.1696477818306628,5.0,7.0,5,3013
1103,1.2731676982513358,6.0,7.0,5,3013
1555,1.2855003895583539,7.0,7.0,5,3013
1560,1.2731676982513358,6.0,7.0,5,3013
1566,1.2855003895583539,7.0,7.0,5,3013
1567,1.2731676982513358,6.0,7.0,5,3013
1597,1.2855003895583539,7.0,7.0,5,3013
1867,1.4479582789268084,8.0,7.0,5,3013
3074,1.5749933922675574,7.0,7.0,5,3013
0,1.072961342950549,5.0,7.0,5,3014
115,1.5090324661816337,7.0,7.0,5,3014
0,1.0219191069327613,5.0,6.0,5,3015
137,1.2256796118524413,6.0,6.0,5,3015
406,1.2843522476103282,6.0,6.0,5,3015
0,0.9700137612829178,5.0,8.0,5,3016
51,1.229745551177424,5.0,8.0,5,3016
253,1.2822918096738918,5.0,8.0,5,3016
826,1.4494391984795765,6.0,8.0,5,3016
2012,1.463641040677425,7.0,8.0,5,3016
2024,1.4494391984795765,6.0,8.0,5,3016
2026,1.463641040677425,7.0,8.0,5,3016
2027,1.4494391984795765,6.0,8.0,5,3016
2029,1.463641040677425,7.0,8.0,5,3016
2250,1.660673924117109,8.0,8.0,5,3016
0,1.0259492774816714,5.0,6.0,5,3017
