Init_active,Max_size,Replicate,Final_size,Pos_effects
1,20,1,12,11
10,20,1,16,11
20,20,1,16,11
1,20,2,8,5
10,20,2,13,5
20,20,2,12,5
1,20,3,11,8
10,20,3,14,8
20,20,3,14,8
1,20,4,17,13
10,20,4,17,13
20,20,4,20,13
1,20,5,11,11
10,20,5,15,11
20,20,5,17,11
1,20,6,12,10
10,20,6,14,10
20,20,6,18,10
1,20,7,12,8
10,20,7,13,8
20,20,7,13,8
1,20,8,15,13
10,20,8,18,13
20,20,8,18,13
1,20,9,10,10
10,20,9,15,10
20,20,9,18,10
1,20,10,14,11
10,20,10,15,11
20,20,10,18,11
1,20,11,9,6
10,20,11,15,6
20,20,11,15,6
1,20,12,8,6
10,20,12,10,6
20,20,12,17,6
1,20,13,16,11
10,20,13,16,11
20,20,13,17,11
1,20,14,14,11
10,20,14,17,11
20,20,14,19,11
1,20,15,12,11
10,20,15,14,11
20,20,15,19,11
1,20,16,12,9
10,20,16,14,9
20,20,16,19,9
1,20,17,14,8
10,20,17,14,8
20,20,17,15,8
1,20,18,12,10
10,20,18,13,10
20,20,18,17,10
1,20,19,11,9
10,20,19,14,9
20,20,19,16,9
1,20,20,10,9
10,20,20,12,9
20,20,20,19,9
1,20,21,11,9
10,20,21,14,9
20,20,21,19,9
1,20,22,11,6
10,20,22,14,6
20,20,22,16,6
1,20,23,17,12
10,20,23,15,12
20,20,23,18,12
1,20,24,18,12
10,20,24,15,12
20,20,24,17,12
1,20,25,14,14
10,20,25,17,14
20,20,25,20,14
1,20,26,8,4
10,20,26,13,4
20,20,26,17,4
1,20,27,12,11
10,20,27,16,11
20,20,27,19,11
1,20,28,13,8
10,20,28,15,8
20,20,28,17,8
1,20,29,13,11
10,20,29,15,11
20,20,29,16,11
1,20,30,13,10
10,20,30,14,10
20,20,30,19,10
1,20,31,10,7
10,20,31,15,7
20,20,31,19,7
1,20,32,13,11
10,20,32,15,11
20,20,32,18,11
1,20,33,10,10
10,20,33,12,10
20,20,33,17,10
1,20,34,14,13
10,20,34,16,13
20,20,34,19,13
1,20,35,16,11
10,20,35,15,11
20,20,35,19,11
1,20,36,13,12
10,20,36,14,12
20,20,36,18,12
1,20,37,16,13
10,20,37,15,13
20,20,37,20,13
1,20,38,11,10
10,20,38,17,10
20,20,38,18,10
1,20,39,11,11
10,20,39,16,11
20,20,39,17,11
1,20,40,17,15
10,20,40,18,15
20,20,40,20,15
1,20,41,12,11
10,20,41,14,11
20,20,41,19,11
1,20,42,9,8
10,20,42,12,8
20,20,42,17,8
1,20,43,13,12
10,20,43,14,12
20,20,43,17,12
1,20,44,8,6
10,20,44,14,6
20,20,44,16,6
1,20,45,13,11
10,20,45,14,11
20,20,45,19,11
1,20,46,12,9
10,20,46,15,9
20,20,46,18,9
1,20,47,13,11
10,20,47,14,11
20,20,47,18,11
1,20,48,13,11
10,20,48,16,11
20,20,48,19,11
1,20,49,11,9
10,20,49,14,9
20,20,49,15,9
1,20,50,10,10
10,20,50,14,10
20,20,50,19,10
1,20,51,16,13
10,20,51,17,13
20,20,51,17,13
1,20,52,13,9
10,20,52,14,9
20,20,52,17,9
1,20,53,11,11
10,20,53,13,11
20,20,53,18,11
1,20,54,14,10
10,20,54,16,10
20,20,54,18,10
1,20,55,15,11
10,20,55,16,11
20,20,55,18,11
1,20,56,10,11
10,20,56,17,11
20,20,56,17,11
1,20,57,9,6
10,20,57,13,6
20,20,57,17,6
1,20,58,12,7
10,20,58,11,7
20,20,58,15,7
1,20,59,12,9
10,20,59,13,9
20,20,59,18,9
1,20,60,14,10
10,20,60,12,10
20,20,60,20,10
1,20,61,14,11
10,20,61,14,11
20,20,61,20,11
1,20,62,14,14
10,20,62,16,14
20,20,62,19,14
1,20,63,13,9
10,20,63,14,9
20,20,63,18,9
1,20,64,12,9
10,20,64,12,9
20,20,64,15,9
1,20,65,11,8
10,20,65,12,8
20,20,65,16,8
1,20,66,11,11
10,20,66,16,11
20,20,66,16,11
1,20,67,17,13
10,20,67,17,13
20,20,67,18,13
1,20,68,15,12
10,20,68,14,12
20,20,68,16,12
1,20,69,12,10
10,20,69,17,10
20,20,69,18,10
1,20,70,14,12
10,20,70,15,12
20,20,70,18,12
1,20,71,14,12
10,20,71,16,12
20,20,71,19,12
1,20,72,14,9
10,20,72,15,9
20,20,72,15,9
1,20,73,12,12
10,20,73,15,12
20,20,73,19,12
1,20,74,12,12
10,20,74,16,12
20,20,74,18,12
1,20,75,14,10
10,20,75,13,10
20,20,75,19,10
1,20,76,8,8
10,20,76,16,8
20,20,76,17,8
1,20,77,13,13
10,20,77,17,13
20,20,77,19,13
1,20,78,12,9
10,20,78,14,9
20,20,78,16,9
1,20,79,13,10
10,20,79,14,10
20,20,79,16,10
1,20,80,13,13
10,20,80,18,13
20,20,80,19,13
1,20,81,12,11
10,20,81,18,11
20,20,81,17,11
1,20,82,14,7
10,20,82,13,7
20,20,82,15,7
1,20,83,12,8
10,20,83,13,8
20,20,83,16,8
1,20,84,14,11
10,20,84,16,11
20,20,84,16,11
1,20,85,11,8
10,20,85,12,8
20,20,85,18,8
1,20,86,13,9
10,20,86,14,9
20,20,86,18,9
1,20,87,9,9
10,20,87,14,9
20,20,87,18,9
1,20,88,10,3
10,20,88,14,3
20,20,88,17,3
1,20,89,14,12
10,20,89,15,12
20,20,89,19,12
