Init_active,Max_size,Replicate,Final_size,Pos_effects
1,20,90,13,11
10,20,90,15,11
20,20,90,15,11
1,20,91,12,10
10,20,91,13,10
20,20,91,16,10
1,20,92,10,7
10,20,92,13,7
20,20,92,18,7
1,20,93,10,7
10,20,93,15,7
20,20,93,17,7
1,20,94,11,6
10,20,94,15,6
20,20,94,19,6
1,20,95,14,11
10,20,95,14,11
20,20,95,19,11
1,20,96,16,13
10,20,96,17,13
20,20,96,18,13
1,20,97,13,12
10,20,97,15,12
20,20,97,17,12
1,20,98,16,13
10,20,98,16,13
20,20,98,18,13
1,20,99,10,8
10,20,99,14,8
20,20,99,16,8
1,20,100,14,9
10,20,100,15,9
20,20,100,16,9
1,20,101,12,11
10,20,101,16,11
20,20,101,18,11
1,20,102,13,12
10,20,102,16,12
20,20,102,20,12
1,20,103,7,9
10,20,103,15,9
20,20,103,18,9
1,20,104,13,13
10,20,104,16,13
20,20,104,19,13
1,20,105,15,13
10,20,105,17,13
20,20,105,17,13
1,20,106,10,9
10,20,106,12,9
20,20,106,16,9
1,20,107,11,9
10,20,107,14,9
20,20,107,19,9
1,20,108,13,7
10,20,108,12,7
20,20,108,13,7
1,20,109,17,13
10,20,109,15,13
20,20,109,17,13
1,20,110,12,9
10,20,110,11,9
20,20,110,18,9
1,20,111,13,8
10,20,111,13,8
20,20,111,15,8
1,20,112,13,12
10,20,112,16,12
20,20,112,19,12
1,20,113,13,13
10,20,113,17,13
20,20,113,17,13
1,20,114,15,14
10,20,114,19,14
20,20,114,19,14
1,20,115,13,8
10,20,115,10,8
20,20,115,20,8
1,20,116,11,8
10,20,116,13,8
20,20,116,18,8
1,20,117,9,7
10,20,117,11,7
20,20,117,17,7
1,20,118,11,7
10,20,118,15,7
20,20,118,15,7
1,20,119,14,11
10,20,119,11,11
20,20,119,17,11
1,20,120,14,12
10,20,120,15,12
20,20,120,20,12
1,20,121,12,11
10,20,121,16,11
20,20,121,16,11
1,20,122,14,12
10,20,122,15,12
20,20,122,18,12
1,20,123,9,9
10,20,123,13,9
20,20,123,16,9
1,20,124,12,10
10,20,124,16,10
20,20,124,19,10
1,20,125,12,9
10,20,125,12,9
20,20,125,19,9
1,20,126,14,13
10,20,126,16,13
20,20,126,19,13
1,20,127,15,15
10,20,127,16,15
20,20,127,19,15
1,20,128,14,9
10,20,128,15,9
20,20,128,16,9
1,20,129,9,6
10,20,129,12,6
20,20,129,16,6
1,20,130,12,11
10,20,130,16,11
20,20,130,17,11
1,20,131,11,9
10,20,131,18,9
20,20,131,18,9
1,20,132,13,8
10,20,132,13,8
20,20,132,19,8
1,20,133,14,13
10,20,133,15,13
20,20,133,20,13
1,20,134,13,14
10,20,134,18,14
20,20,134,19,14
1,20,135,10,10
10,20,135,18,10
20,20,135,19,10
1,20,136,14,12
10,20,136,12,12
20,20,136,19,12
1,20,137,14,10
10,20,137,16,10
20,20,137,17,10
1,20,138,10,9
10,20,138,14,9
20,20,138,15,9
1,20,139,12,11
10,20,139,16,11
20,20,139,16,11
1,20,140,12,9
10,20,140,14,9
20,20,140,16,9
1,20,141,11,10
10,20,141,13,10
20,20,141,20,10
1,20,142,13,14
10,20,142,14,14
20,20,142,19,14
1,20,143,11,10
10,20,143,15,10
20,20,143,19,10
1,20,144,8,8
10,20,144,15,8
20,20,144,14,8
1,20,145,11,6
10,20,145,14,6
20,20,145,18,6
1,20,146,9,7
10,20,146,14,7
20,20,146,17,7
1,20,147,14,11
10,20,147,13,11
20,20,147,20,11
1,20,148,10,10
10,20,148,17,10
20,20,148,18,10
1,20,149,13,8
10,20,149,16,8
20,20,149,15,8
1,20,150,11,10
10,20,150,14,10
20,20,150,16,10
1,20,151,10,9
10,20,151,12,9
20,20,151,18,9
1,20,152,15,14
10,20,152,18,14
20,20,152,19,14
1,20,153,14,7
10,20,153,12,7
20,20,153,18,7
1,20,154,12,10
10,20,154,15,10
20,20,154,19,10
1,20,155,12,10
10,20,155,14,10
20,20,155,16,10
1,20,156,12,9
10,20,156,16,9
20,20,156,18,9
1,20,157,10,9
10,20,157,15,9
20,20,157,15,9
1,20,158,11,11
10,20,158,14,11
20,20,158,18,11
1,20,159,14,10
10,20,159,15,10
20,20,159,19,10
1,20,160,12,11
10,20,160,15,11
20,20,160,19,11
1,20,161,13,14
10,20,161,16,14
20,20,161,19,14
1,20,162,13,12
10,20,162,16,12
20,20,162,18,12
1,20,163,13,9
10,20,163,16,9
20,20,163,18,9
1,20,164,12,11
10,20,164,15,11
20,20,164,19,11
1,20,165,14,10
10,20,165,17,10
20,20,165,16,10
1,20,166,12,9
10,20,166,13,9
20,20,166,18,9
1,20,167,10,8
10,20,167,14,8
20,20,167,20,8
1,20,168,12,12
10,20,168,14,12
20,20,168,18,12
1,20,169,15,11
10,20,169,16,11
20,20,169,17,11
1,20,170,12,12
10,20,170,14,12
20,20,170,16,12
1,20,171,14,12
10,20,171,15,12
20,20,171,18,12
1,20,172,12,11
10,20,172,18,11
20,20,172,17,11
1,20,173,12,12
10,20,173,14,12
20,20,173,17,12
1,20,174,12,11
10,20,174,12,11
20,20,174,18,11
1,20,175,9,7
10,20,175,14,7
20,20,175,16,7
1,20,176,14,14
10,20,176,17,14
20,20,176,19,14
1,20,177,15,11
10,20,177,15,11
20,20,177,16,11
1,20,178,15,12
10,20,178,14,12
20,20,178,16,12
1,20,179,15,13
10,20,179,17,13
20,20,179,19,13
1,20,180,11,11
10,20,180,15,11
20,20,180,17,11
1,20,181,15,13
10,20,181,16,13
20,20,181,18,13
1,20,182,13,9
10,20,182,13,9
20,20,182,19,9
1,20,183,12,11
10,20,183,14,11
20,20,183,17,11
1,20,184,14,11
10,20,184,17,11
20,20,184,16,11
1,20,185,15,13
10,20,185,15,13
20,20,185,18,13
1,20,186,13,10
10,20,186,13,10
20,20,186,17,10
1,20,187,15,14
10,20,187,17,14
20,20,187,18,14
1,20,188,12,10
10,20,188,16,10
20,20,188,18,10
1,20,189,12,11
10,20,189,14,11
20,20,189,20,11
1,20,190,12,7
10,20,190,14,7
20,20,190,16,7
1,20,191,13,11
10,20,191,16,11
20,20,191,19,11
1,20,192,10,6
10,20,192,11,6
20,20,192,17,6
1,20,193,11,10
10,20,193,12,10
20,20,193,17,10
1,20,194,13,11
10,20,194,14,11
20,20,194,19,11
1,20,195,7,5
10,20,195,11,5
20,20,195,15,5
1,20,196,10,8
10,20,196,15,8
20,20,196,20,8
1,20,197,12,12
10,20,197,14,12
20,20,197,18,12
1,20,198,14,12
10,20,198,15,12
20,20,198,19,12
1,20,199,14,14
10,20,199,18,14
20,20,199,20,14
1,20,200,16,13
10,20,200,14,13
20,20,200,20,13
