Loci,Replicate,Final_fitness,Generation
10,1,4.4910089123309715,100
10,1,4.4910089123309715,500
10,1,4.4910089123309715,1000
10,1,4.4910089123309715,5000
10,1,4.4910089123309715,10000
10,1,4.4910089123309715,50000
25,1,5.851092331996879,100
25,1,5.851092331996879,500
25,1,5.851092331996879,1000
25,1,10.714559162651355,5000
25,1,10.714559162651355,10000
25,1,10.714559162651355,50000
50,1,8.712894630442856,100
50,1,24.430179716047817,500
50,1,24.430179716047817,1000
50,1,24.430179716047817,5000
50,1,24.430179716047817,10000
50,1,24.430179716047817,50000
75,1,12.054926072841132,100
75,1,14.763886830184964,500
75,1,14.763886830184964,1000
75,1,14.763886830184964,5000
75,1,14.763886830184964,10000
75,1,20.59081038292409,50000
100,1,19.295500836413016,100
100,1,19.295500836413016,500
100,1,19.295500836413016,1000
100,1,19.295500836413016,5000
100,1,19.295500836413016,10000
100,1,19.295500836413016,50000
10,2,6.409331023217254,100
10,2,7.9766453045796375,500
10,2,7.9766453045796375,1000
10,2,17.530676711651445,5000
10,2,17.530676711651445,10000
10,2,17.530676711651445,50000
25,2,16.13010507705061,100
25,2,16.13010507705061,500
25,2,16.13010507705061,1000
25,2,16.13010507705061,5000
25,2,16.13010507705061,10000
25,2,16.13010507705061,50000
50,2,31.57026210231574,100
50,2,31.57026210231574,500
50,2,31.57026210231574,1000
50,2,31.57026210231574,5000
50,2,31.57026210231574,10000
50,2,31.57026210231574,50000
75,2,19.488993307807004,500
75,2,19.488993307807004,1000
75,2,19.488993307807004,5000
75,2,19.488993307807004,10000
75,2,19.488993307807004,50000
100,2,8.484398056461261,100
100,2,11.605367358662594,500
100,2,11.605367358662594,1000
100,2,14.390070804067053,5000
100,2,24.738882182326567,10000
100,2,24.738882182326567,50000
10,3,17.530676711651445,100
10,3,17.530676711651445,500
10,3,17.530676711651445,1000
10,3,17.530676711651445,5000
10,3,17.530676711651445,10000
10,3,17.530676711651445,50000
25,3,3.102923279913694,100
25,3,13.777081395719275,500
25,3,13.777081395719275,1000
25,3,13.777081395719275,5000
25,3,13.777081395719275,10000
