Loci,Replicate,loci_diff,Final_fitness,Max_fitness,Generation
1,1,0,1.0638907853614539,1.0638907853614539,300
1,1,0,1.0638907853614539,1.0638907853614539,500
1,1,0,1.0638907853614539,1.0638907853614539,800
1,1,0,1.0638907853614539,1.0638907853614539,1000
1,1,0,1.0638907853614539,1.0638907853614539,1500
1,1,0,1.0638907853614539,1.0638907853614539,2000
5,1,2,3.9125910834381314,4.361395023027127,100
5,1,0,4.361395023027127,4.361395023027127,200
5,1,0,4.361395023027127,4.361395023027127,300
5,1,0,4.361395023027127,4.361395023027127,500
5,1,0,4.361395023027127,4.361395023027127,800
5,1,0,4.361395023027127,4.361395023027127,1000
5,1,0,4.361395023027127,4.361395023027127,1500
5,1,0,4.361395023027127,4.361395023027127,2000
10,1,3,9.295966915660374,12.355641523646424,100
10,1,1,11.613637126717506,12.355641523646424,200
10,1,0,12.355641523646424,12.355641523646424,300
10,1,0,12.355641523646424,12.355641523646424,500
10,1,0,12.355641523646424,12.355641523646424,800
10,1,0,12.355641523646424,12.355641523646424,1000
10,1,0,12.355641523646424,12.355641523646424,1500
10,1,0,12.355641523646424,12.355641523646424,2000
25,1,5,489.1115384968073,814.347788687602,100
25,1,4,608.1790596939967,814.347788687602,200
25,1,3,725.1723392992061,814.347788687602,300
25,1,2,771.504169579435,814.347788687602,500
25,1,1,808.3551191547633,814.347788687602,800
25,1,1,808.3551191547633,814.347788687602,1000
25,1,0,814.3477886876027,814.347788687602,1500
25,1,0,814.3477886876027,814.347788687602,2000
50,1,14,1.3624136674085378e6,2.7094654807610635e7,100
50,1,8,9.264806944424717e6,2.7094654807610635e7,200
50,1,6,1.50805565730595e7,2.7094654807610635e7,300
50,1,2,2.5280103434736446e7,2.7094654807610635e7,500
50,1,1,2.6895269097200565e7,2.7094654807610635e7,800
50,1,1,2.6895269097200565e7,2.7094654807610635e7,1000
50,1,1,2.6895269097200565e7,2.7094654807610635e7,1500
50,1,0,2.7094654807610635e7,2.7094654807610635e7,2000
100,1,32,2.684451587320788e11,1.7883847760808955e18,100
100,1,21,3.041681077437693e15,1.7883847760808955e18,200
100,1,14,1.0529939770970846e17,1.7883847760808955e18,300
100,1,6,9.973108407353404e17,1.7883847760808955e18,500
100,1,2,1.6942961357854008e18,1.7883847760808955e18,800
100,1,1,1.7752243069183475e18,1.7883847760808955e18,1000
100,1,1,1.7752243069183475e18,1.7883847760808955e18,1500
100,1,1,1.7752243069183475e18,1.7883847760808955e18,2000
5,2,0,1.8178895299077702,1.8178895299077702,100
5,2,0,1.8178895299077702,1.8178895299077702,200
5,2,0,1.8178895299077702,1.8178895299077702,300
5,2,0,1.8178895299077702,1.8178895299077702,500
5,2,0,1.8178895299077702,1.8178895299077702,800
5,2,0,1.8178895299077702,1.8178895299077702,1000
5,2,0,1.8178895299077702,1.8178895299077702,1500
5,2,0,1.8178895299077702,1.8178895299077702,2000
10,2,0,11.99088776958761,11.99088776958761,100
10,2,0,11.99088776958761,11.99088776958761,200
10,2,0,11.99088776958761,11.99088776958761,300
10,2,0,11.99088776958761,11.99088776958761,500
10,2,0,11.99088776958761,11.99088776958761,800
10,2,0,11.99088776958761,11.99088776958761,1000
10,2,0,11.99088776958761,11.99088776958761,1500
10,2,0,11.99088776958761,11.99088776958761,2000
25,2,2,57.04394878903033,121.01884886209369,100
25,2,1,107.22391976917172,121.01884886209369,200
25,2,0,121.01884886209369,121.01884886209369,300
25,2,0,121.01884886209369,121.01884886209369,500
25,2,0,121.01884886209369,121.01884886209369,800
25,2,0,121.01884886209369,121.01884886209369,1000
25,2,0,121.01884886209369,121.01884886209369,1500
25,2,0,121.01884886209369,121.01884886209369,2000
50,2,7,188196.59440644275,1.6751185823973778e6,100
50,2,3,1.1901363530143278e6,1.6751185823973778e6,200
50,2,1,1.5285016279621138e6,1.6751185823973778e6,300
50,2,0,1.6751185823973778e6,1.6751185823973778e6,500
50,2,0,1.6751185823973778e6,1.6751185823973778e6,800
50,2,0,1.6751185823973778e6,1.6751185823973778e6,1000
50,2,0,1.6751185823973778e6,1.6751185823973778e6,1500
50,2,0,1.6751185823973778e6,1.6751185823973778e6,2000
100,2,29,1.0534913518780017e8,2.527619828697322e12,100
100,2,18,9.200244262423839e10,2.527619828697322e12,200
100,2,13,4.000929278027068e11,2.527619828697322e12,300
100,2,7,1.2739881387732168e12,2.527619828697322e12,500
100,2,2,2.4399456895810977e12,2.527619828697322e12,800
100,2,1,2.490191385480999e12,2.527619828697322e12,1000
100,2,1,2.490191385480999e12,2.527619828697322e12,1500
100,2,0,2.527619828697322e12,2.527619828697322e12,2000
1,3,0,1.942418691620611,1.942418691620611,100
1,3,0,1.942418691620611,1.942418691620611,200
1,3,0,1.942418691620611,1.942418691620611,300
1,3,0,1.942418691620611,1.942418691620611,500
1,3,0,1.942418691620611,1.942418691620611,800
1,3,0,1.942418691620611,1.942418691620611,1000
1,3,0,1.942418691620611,1.942418691620611,1500
1,3,0,1.942418691620611,1.942418691620611,2000
5,3,0,13.04552844454936,13.04552844454936,100
5,3,0,13.04552844454936,13.04552844454936,200
5,3,0,13.04552844454936,13.04552844454936,300
5,3,0,13.04552844454936,13.04552844454936,500
5,3,0,13.04552844454936,13.04552844454936,800
5,3,0,13.04552844454936,13.04552844454936,1000
5,3,0,13.04552844454936,13.04552844454936,1500
5,3,0,13.04552844454936,13.04552844454936,2000
10,3,0,17.67630739501381,17.67630739501381,100
10,3,0,17.67630739501381,17.67630739501381,200
10,3,0,17.67630739501381,17.67630739501381,300
