Loci,Replicate,Final_fitness,Final_genome_size
1,1,37.463174607817685,4.0
2,1,20.486225045552978,6.0
3,1,10.47585219420994,5.0
4,1,22.512799510874324,8.0
5,1,20.443322344339848,7.0
1,2,19.321632109665305,6.0
2,2,58.35211808961138,5.0
3,2,13.804838858328017,6.0
4,2,24.87601656636131,5.0
5,2,73.79169414031279,6.0
1,3,20.119939183481982,5.0
2,3,24.748240473773432,4.0
3,3,39.209028276804474,5.0
4,3,37.2065094170536,8.0
5,3,17.871562506113147,6.998
1,4,17.359444737390668,6.0
2,4,11.983377641927373,4.0
3,4,29.101385635687823,7.0
4,4,56.050805562792945,6.0
5,4,33.2686808669952,8.0
1,5,21.39045555383141,4.0
2,5,27.002242609953743,3.0
3,5,16.006656543201494,5.001
4,5,23.316791906044767,5.0
5,5,37.35903310687632,7.0
1,6,49.50767636735626,7.0
2,6,38.58770979844195,6.0
3,6,27.082002155052635,5.001
4,6,29.91917718025241,8.0
5,6,18.408134630865987,7.0
1,7,15.561796137112646,6.0
2,7,13.737953769980727,4.001
3,7,26.342470010392194,5.001
4,7,24.441812786752074,6.0
5,7,33.364747098149905,5.0
1,8,16.429978615077097,2.0
2,8,24.507957596199955,5.0
3,8,22.321991146151756,5.0
4,8,19.391160389144677,6.0
5,8,20.271839309448332,7.0
1,9,9.970918327596447,2.0
2,9,26.78831853684276,4.0
3,9,33.3183748702105,7.0
4,9,13.382425015423301,6.0
5,9,18.82469191995274,6.0
1,10,19.366383831032877,5.0
2,10,28.23096741232827,4.0
3,10,20.374693560141136,7.002
4,10,15.21034458943625,8.0
5,10,31.772665308420816,7.0
1,11,25.368654193622437,4.0
2,11,14.030545432208054,6.0
3,11,20.10359384411727,7.001
4,11,16.01319100050544,5.0
5,11,12.074748677071355,6.0
1,12,26.369975402651065,6.0
2,12,21.868330056507222,7.0
3,12,18.905707325325118,5.001
4,12,13.103119524561842,6.0
5,12,22.27538570613214,7.0
1,13,24.840182829424617,6.001
2,13,19.80909245034302,4.0
3,13,28.194965700357617,7.0
4,13,21.26360624949093,5.0
5,13,18.327516148380937,8.001
1,14,26.69144159299833,4.0
2,14,30.121692046713704,4.0
3,14,30.121692046713704,4.0
4,14,20.99871495548511,6.0
5,14,14.380842612044729,8.001
1,15,12.9038855626523,5.001
