Loci,Replicate,Final_fitness,Generation
25,30,9.65343177059756,50000
50,30,16.558697859675487,50000
75,30,29.186409379753947,50000
100,30,35.60769305050111,50000
1,31,0.8096961528976764,50000
25,31,16.429942787081004,50000
50,31,18.70244831703501,50000
75,31,18.421389816163792,50000
100,31,21.387653593787217,50000
1,32,0.8096961528976764,50000
25,32,11.6219275058698,50000
50,32,15.735944457610662,50000
75,32,19.64659330124102,50000
100,32,33.08381998751879,50000
1,33,0.8096961528976764,50000
25,33,16.195226006511543,50000
50,33,33.94286658710291,50000
75,33,16.10486032020882,50000
100,33,24.597259549447774,50000
1,34,0.8096961528976764,50000
25,34,16.13010507705061,50000
50,34,19.322663891694738,50000
75,34,13.675699011606824,50000
100,34,31.185507731029315,50000
1,35,0.8096961528976764,50000
25,35,10.965136619622625,50000
50,35,15.196278207013151,50000
75,35,15.964717846948542,50000
100,35,32.80111080022728,50000
1,36,0.8096961528976764,50000
25,36,36.02749927136782,50000
50,36,21.91904287403745,50000
75,36,60.29681463393905,50000
100,36,34.2444505635066,50000
1,37,0.8096961528976764,50000
25,37,21.709223124009483,50000
50,37,48.15461958387629,50000
75,37,24.330159204649433,50000
100,37,25.64800485808257,50000
1,38,0.8096961528976764,50000
25,38,13.395773740653562,50000
50,38,18.355745897083093,50000
75,38,118.16922485985599,50000
100,38,29.529255151567114,50000
1,39,0.8096961528976764,50000
25,39,14.611514736848347,50000
50,39,38.026065890842425,50000
75,39,20.030472320081007,50000
100,39,26.16338904217156,50000
1,40,0.8096961528976764,50000
25,40,9.65343177059756,50000
50,40,24.353277045324997,50000
75,40,21.530720736439335,50000
100,40,19.737172454636198,50000
1,41,0.8096961528976764,50000
25,41,14.866266628757055,50000
50,41,30.46603017943857,50000
75,41,28.214953382685128,50000
100,41,29.08246492519278,50000
1,42,0.8096961528976764,50000
25,42,13.108503877608676,50000
50,42,24.52533705165531,50000
75,42,33.23498579446929,50000
100,42,33.98748737006053,50000
1,43,0.8096961528976764,50000
25,43,21.04471327410812,50000
50,43,14.608383242255677,50000
75,43,36.96332663565545,50000
100,43,26.704073664627142,50000
1,44,0.8096961528976764,50000
25,44,8.712338035084505,50000
50,44,16.91532567299868,50000
75,44,18.550054204986147,50000
100,44,24.577321670960842,50000
1,45,0.8096961528976764,50000
25,45,12.338617836336486,50000
50,45,22.778921227876086,50000
75,45,35.003331506503564,50000
100,45,20.232117649722916,50000
1,46,0.8096961528976764,50000
25,46,16.99510576829021,50000
50,46,17.072522065527522,50000
75,46,25.874364947381117,50000
100,46,22.024228895503626,50000
1,47,0.8096961528976764,50000
25,47,16.37576453855853,50000
50,47,24.94930170709981,50000
75,47,35.235233318364415,50000
100,47,66.2730724970426,50000
1,48,0.8096961528976764,50000
25,48,18.764986720206853,50000
50,48,38.760269906919085,50000
75,48,17.105675441417905,50000
100,48,27.88497074952499,50000
1,49,0.8096961528976764,50000
25,49,71.10818610479208,50000
50,49,29.20713131749969,50000
75,49,13.614575231272509,50000
100,49,26.499641778489952,50000
1,50,0.8096961528976764,50000
25,50,12.21164627847008,50000
50,50,41.69849151210023,50000
75,50,44.07785593913445,50000
100,50,27.52460676235136,50000
1,51,0.8096961528976764,50000
25,51,13.728236788375144,50000
50,51,17.444609497809296,50000
75,51,56.39564604752318,50000
100,51,20.249534873502405,50000
1,52,0.8096961528976764,50000
25,52,35.08157634938707,50000
50,52,19.09536982479181,50000
75,52,33.31183566669615,50000
100,52,32.49264905677541,50000
1,53,0.8096961528976764,50000
25,53,12.214716598133524,50000
50,53,15.671302240160042,50000
75,53,24.49351308824087,50000
100,53,26.23174828644809,50000
1,54,0.8096961528976764,50000
25,54,17.739092513225007,50000
50,54,17.00945635394333,50000
75,54,31.281913351894815,50000
100,54,24.808109637119905,50000
1,55,0.8096961528976764,50000
25,55,19.88779942838249,50000
50,55,26.22603657625091,50000
75,55,54.58279023281764,50000
100,55,26.105625038878532,50000
1,56,0.8096961528976764,50000
25,56,14.679325699776728,50000
50,56,52.69589546073796,50000
75,56,19.294120286270477,50000
100,56,36.75405868925046,50000
1,57,0.8096961528976764,50000
25,57,15.97130684263925,50000
50,57,15.96091283363406,50000
75,57,20.25290799168092,50000
100,57,20.494899138943172,50000
1,58,0.8096961528976764,50000
25,58,16.162606123860105,50000
50,58,15.208185432135222,50000
75,58,32.93940375899245,50000
100,58,40.37328887929555,50000
1,59,0.8096961528976764,50000
25,59,12.85077792801472,50000
50,59,24.016483339747545,50000
75,59,23.210205578503196,50000
100,59,44.0724744097708,50000
1,60,0.8096961528976764,50000
25,60,14.611514736848347,50000
50,60,12.50879097645212,50000
75,60,23.10459561207239,50000
100,60,27.19772784971075,50000
1,61,0.8096961528976764,50000
25,61,14.58281441658407,50000
50,61,35.19407786761264,50000
75,61,23.364770735904024,50000
100,61,43.8850255043626,50000
1,62,0.8096961528976764,50000
25,62,32.90649945056099,50000
50,62,30.301563882696115,50000
75,62,40.1934265023796,50000
100,62,19.436301444799238,50000
1,63,0.8096961528976764,50000
25,63,20.41893280742642,50000
50,63,14.715133728133377,50000
75,63,27.63328320595629,50000
100,63,26.868783776186152,50000
1,64,0.8096961528976764,50000
25,64,26.950912152194505,50000
50,64,16.428759727160806,50000
75,64,24.03010225099864,50000
100,64,44.02827443187495,50000
1,65,0.8096961528976764,50000
25,65,8.108305180722356,50000
50,65,32.018864741667926,50000
75,65,24.287561983754344,50000
100,65,21.893370382007898,50000
1,66,0.8096961528976764,50000
25,66,9.579866821170162,50000
50,66,17.203122961130937,50000
75,66,63.20523791015037,50000
100,66,29.37776005271609,50000
1,67,0.8096961528976764,50000
25,67,12.784315542984356,50000
50,67,15.477258998090804,50000
75,67,19.10772222617993,50000
100,67,29.60225833116576,50000
1,68,0.8096961528976764,50000
25,68,14.632959192036946,50000
50,68,25.84240871881609,50000
75,68,35.8294673921688,50000
100,68,22.544712389391997,50000
1,69,0.8096961528976764,50000
25,69,11.080186679639215,50000
50,69,19.723243161160088,50000
75,69,32.79267789793075,50000
100,69,23.556264540296088,50000
1,70,0.8096961528976764,50000
25,70,13.025243170338602,50000
50,70,23.809407078184623,50000
75,70,25.86480013885663,50000
100,70,25.17350136516246,50000
1,71,0.8096961528976764,50000
25,71,13.402474666013951,50000
50,71,14.463562997013444,50000
75,71,24.52251491646344,50000
100,71,41.433855414603,50000
1,72,0.8096961528976764,50000
25,72,20.784979008797794,50000
50,72,16.892875500243953,50000
75,72,18.17580855835195,50000
100,72,18.784765564377413,50000
1,73,0.8096961528976764,50000
25,73,19.31429021937438,50000
50,73,29.10136316390979,50000
75,73,39.48392267850182,50000
100,73,73.39405507016674,50000
1,74,0.8096961528976764,50000
25,74,18.827914155398638,50000
50,74,11.323372670720861,50000
75,74,27.44655674025112,50000
100,74,34.385387322329905,50000
1,75,0.8096961528976764,50000
25,75,20.201066102550502,50000
50,75,16.14707592627675,50000
75,75,25.124507789209957,50000
100,75,29.143402039955255,50000
1,76,0.8096961528976764,50000
25,76,19.10179462763343,50000
50,76,16.38634962183141,50000
75,76,24.139487846021744,50000
100,76,42.90982126665981,50000
1,77,0.8096961528976764,50000
25,77,11.869712042077724,50000
50,77,37.90741609555727,50000
75,77,11.963732579411746,50000
100,77,25.709800286412683,50000
1,78,0.8096961528976764,50000
25,78,20.347950331761552,50000
50,78,32.31785420910176,50000
75,78,16.360145780832458,50000
100,78,19.82255409943335,50000
1,79,0.8096961528976764,50000
25,79,14.284865747155735,50000
50,79,17.13568429869036,50000
75,79,31.92283984440126,50000
100,79,45.73048571036934,50000
1,80,0.8096961528976764,50000
25,80,13.009548519822339,50000
50,80,18.025072351921132,50000
75,80,39.23966064772461,50000
100,80,30.24211127379341,50000
