Loci,Replicate,Final_fitness,Generation
25,1,1.2873839370552194,50000
50,1,1.3765521408259525,50000
75,1,1.3536529085892233,50000
100,1,1.3693773636179374,50000
25,2,1.3205769714087976,50000
50,2,1.3798721235277955,50000
75,2,1.3420983009458107,50000
100,2,1.393339363159784,50000
25,3,1.289129221975491,50000
50,3,1.3411944110651486,50000
75,3,1.4252859000940403,50000
100,3,1.4982397802686398,50000
25,4,1.3320597584988723,50000
50,4,1.2806021524928215,50000
75,4,1.373209089007148,50000
100,4,1.4734823359897604,50000
25,5,1.25212559625169,50000
50,5,1.4328821706243378,50000
75,5,1.3374925413218928,50000
100,5,1.5300449627753785,50000
25,6,1.3817014987892529,50000
50,6,1.3100145213303178,50000
75,6,1.3702449851625154,50000
100,6,1.3813212910564157,50000
25,7,1.2375786085782183,50000
50,7,1.3967893977150168,50000
75,7,1.461069506636333,50000
100,7,1.3628353861399616,50000
25,8,1.3604394446598431,50000
50,8,1.345999515690144,50000
75,8,1.3818890634038574,50000
100,8,1.4210366828815555,50000
25,9,1.4031874639214672,50000
50,9,1.3306931086215277,50000
75,9,1.3573225094667087,50000
100,9,1.38814108715978,50000
25,10,1.3057841669514423,50000
50,10,1.3250219403468968,50000
75,10,1.3413252065791375,50000
100,10,1.3360816867399508,50000
25,11,1.3188618971839428,50000
50,11,1.4848836583811729,50000
75,11,1.3468357377623734,50000
100,11,1.4233843320541606,50000
25,12,1.237044713165365,50000
50,12,1.4016291425133036,50000
75,12,1.3327867771365283,50000
100,12,1.4842767937557062,50000
25,13,1.26570916660221,50000
50,13,1.3502835689002308,50000
75,13,1.36060312279477,50000
100,13,1.4021761858530317,50000
25,14,1.4054721322843682,50000
50,14,1.4734437842559573,50000
75,14,1.34880567629455,50000
100,14,1.4506479695643912,50000
25,15,1.2603194502066286,50000
50,15,1.258055457746326,50000
75,15,1.381025998696406,50000
100,15,1.37879114950166,50000
25,16,1.2258071703006233,50000
50,16,1.4056348209012002,50000
75,16,1.3696606050532338,50000
100,16,1.3853166551446463,50000
25,17,1.2339201976323169,50000
50,17,1.402589217779013,50000
75,17,1.3531072584608523,50000
100,17,1.3860924479527112,50000
25,18,1.3349470786435031,50000
50,18,1.3469128303801818,50000
75,18,1.4753606185654808,50000
100,18,1.3943686261097197,50000
25,19,1.2662756810390052,50000
50,19,1.387533367875474,50000
75,19,1.3788687722547461,50000
100,19,1.3873690001871044,50000
25,20,1.303524230163905,50000
50,20,1.4465106495057438,50000
75,20,1.3675034089547744,50000
100,20,1.4384099045204974,50000
25,21,1.2328966869801796,50000
50,21,1.394647554157353,50000
75,21,1.3950916312889352,50000
100,21,1.4068900757541312,50000
25,22,1.2824561677717023,50000
50,22,1.3635334965328731,50000
75,22,1.2903294069595277,50000
100,22,1.3690988241639257,50000
25,23,1.27755583873245,50000
50,23,1.3777185921915898,50000
75,23,1.4486345640315388,50000
100,23,1.351059275395297,50000
25,24,1.277923395463733,50000
50,24,1.3772776070679282,50000
75,24,1.335013798378984,50000
100,24,1.4179849603150025,50000
25,25,1.448306498162858,50000
50,25,1.3199187785265916,50000
75,25,1.3420152187358336,50000
100,25,1.3345787469139794,50000
25,26,1.3166200516287507,50000
50,26,1.4897956132700378,50000
75,26,1.3607416722710155,50000
100,26,1.4107884854054884,50000
25,27,1.2914318781229819,50000
50,27,1.3874836641244164,50000
75,27,1.364037740150033,50000
100,27,1.4245493696878642,50000
25,28,1.3177552999912598,50000
50,28,1.3052411485251834,50000
75,28,1.4610179727230188,50000
100,28,1.3355248889573688,50000
50,29,1.3474689230516026,50000
75,29,1.429886014904951,50000
100,29,1.3720096196737412,50000
25,30,1.275350751785209,50000
50,30,1.2936571258886789,50000
75,30,1.4622511776573928,50000
100,30,1.4317614954229734,50000
25,31,1.2918401117463976,50000
50,31,1.340262438124541,50000
75,31,1.4318283797051112,50000
100,31,1.3913480510017893,50000
25,32,1.2665100340941282,50000
50,32,1.3882120682356403,50000
75,32,1.3235131348489229,50000
100,32,1.4952809693137015,50000
25,33,1.3211091524580187,50000
50,33,1.3737853992914326,50000
75,33,1.4111520094927152,50000
