Loci,Replicate,Final_fitness,Generation
2,1,1.825781417359993,50000
3,1,5.207385330813534,50000
4,1,1.6698079685097473,50000
5,1,5.209713672331185,50000
6,1,7.304578938903155,50000
7,1,7.899352639257863,50000
8,1,7.65491179081158,50000
10,1,4.4910089123309715,50000
2,2,1.825781417359993,50000
3,2,5.207385330813534,50000
4,2,1.6698079685097473,50000
5,2,5.209713672331185,50000
6,2,7.304578938903155,50000
7,2,31.375768072558376,50000
8,2,8.984311838385237,50000
9,2,4.593903680365091,50000
10,2,17.530676711651445,50000
2,3,1.825781417359993,50000
3,3,5.207385330813534,50000
4,3,1.6698079685097473,50000
5,3,5.209713672331185,50000
6,3,7.304578938903155,50000
7,3,7.899352639257863,50000
8,3,7.046116180568582,50000
9,3,7.491018919565563,50000
10,3,17.530676711651445,50000
2,4,1.825781417359993,50000
3,4,5.207385330813534,50000
4,4,1.6698079685097473,50000
5,4,5.209713672331185,50000
6,4,4.341149008464806,50000
7,4,7.899352639257863,50000
9,4,16.63816407625733,50000
10,4,11.838698627578536,50000
2,5,1.825781417359993,50000
3,5,5.207385330813534,50000
4,5,1.6698079685097473,50000
5,5,5.209713672331185,50000
6,5,7.304578938903155,50000
7,5,7.899352639257863,50000
8,5,5.147303232739395,50000
9,5,4.593903680365091,50000
2,6,1.125394152259671,50000
3,6,5.207385330813534,50000
4,6,1.6698079685097473,50000
5,6,5.209713672331185,50000
6,6,4.341149008464806,50000
7,6,7.899352639257863,50000
8,6,7.410792807201458,50000
9,6,8.740227367318969,50000
10,6,11.838698627578536,50000
2,7,1.825781417359993,50000
3,7,5.207385330813534,50000
4,7,1.6698079685097473,50000
5,7,5.209713672331185,50000
6,7,7.304578938903155,50000
7,7,7.899352639257863,50000
8,7,7.893406285560227,50000
9,7,8.740227367318969,50000
10,7,11.838698627578536,50000
2,8,1.825781417359993,50000
3,8,5.207385330813534,50000
4,8,1.6698079685097473,50000
5,8,5.209713672331185,50000
6,8,4.341149008464806,50000
7,8,7.899352639257863,50000
8,8,14.684098827139218,50000
9,8,8.740227367318969,50000
10,8,7.106535123133248,50000
2,9,1.825781417359993,50000
3,9,5.207385330813534,50000
4,9,1.6698079685097473,50000
5,9,5.209713672331185,50000
6,9,4.341149008464806,50000
7,9,7.899352639257863,50000
8,9,5.147303232739395,50000
9,9,8.740227367318969,50000
10,9,11.838698627578536,50000
2,10,1.825781417359993,50000
3,10,5.207385330813534,50000
4,10,1.6698079685097473,50000
5,10,5.209713672331185,50000
6,10,4.341149008464806,50000
7,10,7.899352639257863,50000
8,10,5.147303232739395,50000
9,10,7.491018919565563,50000
10,10,11.838698627578536,50000
2,11,1.825781417359993,50000
3,11,5.207385330813534,50000
4,11,1.6698079685097473,50000
5,11,5.209713672331185,50000
6,11,7.304578938903155,50000
7,11,31.375768072558376,50000
8,11,17.631631907002046,50000
9,11,8.740227367318969,50000
10,11,15.640756188515702,50000
2,12,1.825781417359993,50000
3,12,5.207385330813534,50000
