Loci,Replicate,Final_fitness,Final_genome_size
1,1,25.269001102647714,4.999
2,1,26.33851803703441,4.004
3,1,66.22755114851985,7.001
4,1,35.97318649245637,6.001
5,1,26.978156285048414,8.003
1,2,15.995721834539426,4.006
2,2,61.08327631428474,6.0
3,2,31.97784100686144,7.0
4,2,31.13848924834103,8.0
5,2,73.79169414031279,6.0
1,3,192.50778033787512,7.0
2,3,32.32727162077,8.0
3,3,192.50778033787512,7.0
4,3,28.62933243387547,11.002
5,3,26.0787483152509,8.001
1,4,53.3030102735985,4.0
2,4,25.72308505511913,9.0
3,4,18.30635444799079,6.0
4,4,43.11802130256146,7.001
5,4,16.80265814350681,4.0
1,5,25.092069760459257,7.001
2,5,43.359269642500614,5.001
3,5,40.23884978388033,9.001
4,5,42.63842896543634,7.0
5,5,29.180545697468215,8.0
1,6,36.01335191777758,8.0
2,6,25.078321714579506,7.0
3,6,55.94225201765591,9.0
4,6,32.06029386417366,7.001
5,6,61.28347846232964,11.002
1,7,31.530826103703205,7.001
2,7,21.202176040283977,5.002
3,7,33.17582832408353,5.0
4,7,44.11094521149891,9.0
5,7,36.0663372016835,7.0
1,8,30.029918640278165,7.001
2,8,79.99631681524058,6.0
3,8,33.496895956352624,6.0
4,8,65.44383165147731,11.0
5,8,24.460596915878067,11.0
1,9,23.960987430198262,4.0
2,9,36.31961296364662,5.0
3,9,58.10769131852378,10.0
4,9,18.55406308554487,7.002
5,9,58.957965667833584,8.0
1,10,32.43053581946349,5.0
2,10,40.25498302331273,6.001
3,10,65.50640148811097,8.002
4,10,27.833566139110896,6.0
5,10,21.305136224119856,6.999
1,11,91.83466684444056,7.0
2,11,20.52725714101685,7.0
3,11,29.03393435544269,9.0
4,11,23.690657118527504,8.0
5,11,46.355731205752306,8.0
1,12,36.14985554902463,5.0
2,12,41.473343823571604,6.001
3,12,57.44834944596947,7.998
4,12,30.249510648162733,10.001
5,12,22.27538570613214,7.002
1,13,91.82438109235072,7.0
2,13,28.746261315019314,5.001
3,13,52.20195274995363,8.001
4,13,54.21790055997712,9.0
5,13,31.92033405010477,10.003
1,14,38.83864419553637,10.001
2,14,33.10031013028533,3.0
3,14,44.514066178325876,8.0
4,14,23.05910701103234,7.002
5,14,69.36619206349172,6.001
1,15,24.643029880049767,5.0
2,15,31.083569042604594,6.0
3,15,30.528471004871246,6.0
4,15,33.459553708824664,6.002
5,15,34.88654327214356,8.0
1,16,33.35359915598527,5.0
2,16,27.476604228856754,7.0
3,16,39.33302302904295,8.001
4,16,28.094512312957566,7.001
5,16,20.633632962841812,10.003
1,17,47.361293256258975,5.0
2,17,27.08087345337143,5.0
3,17,37.21811301206803,7.0
4,17,30.5033875991663,8.0
5,17,34.6706981153795,8.0
1,18,90.2804232869154,7.0
2,18,26.98182366110965,6.001
3,18,31.836109553370324,5.999
4,18,26.662544015464405,6.002
5,18,26.148594434261053,7.001
1,19,27.643763632694213,3.999
2,19,24.387043925760768,4.0
3,19,29.346800182495794,8.0
4,19,19.9897339439883,5.001
5,19,42.55886591912735,11.001
1,20,29.41807060025985,6.0
2,20,69.35518120484974,9.0
3,20,34.11937629928504,7.0
4,20,30.183894368441397,7.0
5,20,26.0902269478309,8.001
1,21,35.870452933039374,3.001
2,21,28.756399286954945,5.0
3,21,26.281409287055148,7.001
4,21,53.020650130871104,6.999
5,21,69.9561719610093,10.001
1,22,44.21590002312945,7.0
2,22,34.337273350831865,5.001
3,22,38.118205665903524,8.001
4,22,32.557984791096665,5.002
5,22,35.99155423823072,8.0
1,23,46.8492349632836,7.0
2,23,20.59543611994766,6.002
3,23,35.81873853878181,7.002
4,23,32.257113087631,5.999
5,23,44.19916621421569,11.0
1,24,26.612998971855035,6.001
2,24,25.82111750676186,5.0
3,24,36.7193334039261,6.0
4,24,56.25066619622324,10.0
5,24,53.79684688586015,6.0
1,25,26.083038632730986,4.001
2,25,39.90149702509904,8.001
3,25,28.59565654691171,7.0
4,25,23.837992388903114,9.0
5,25,40.68547326552143,8.0
1,26,27.23861185196101,6.003
2,26,20.023318811089286,4.001
3,26,44.95907547998552,8.0
4,26,29.687968366576364,5.0
5,26,31.40974662508689,9.001
1,27,40.835248897202675,7.0
2,27,42.79545406614659,7.997
3,27,26.582257801115723,9.0
4,27,33.711200814676054,6.0
5,27,34.8601721055414,9.0
1,28,29.7474382458897,5.0
2,28,34.1682581985856,3.0
3,28,46.42133308614985,11.001
4,28,37.88490150190579,8.001
5,28,27.51704051412228,8.001
1,29,44.93243271308465,6.0
2,29,88.20614672870194,4.0
3,29,31.018554868056487,5.0
4,29,34.36040257795977,8.0
5,29,24.88432399525338,6.002
1,30,37.428113795952726,4.0
2,30,27.72401617385266,8.001
3,30,31.17509048408366,9.0
4,30,57.3917556734357,11.002
5,30,33.513961011923286,7.002
1,31,61.95042739608036,10.001
2,31,36.56380826400966,5.0
3,31,36.42023435012343,6.0
4,31,71.8479026507357,9.0
5,31,60.841418193513704,7.0
1,32,34.35765890803504,7.002
2,32,45.29259629247035,8.001
3,32,35.968199960389896,6.001
4,32,46.43571536375575,9.0
5,32,27.35221488354123,10.995
1,33,52.35064569367113,3.0
2,33,24.41200343678115,5.0
3,33,49.231701170924104,9.002
4,33,34.627336795838545,8.0
5,33,70.95394012517554,7.0
1,34,51.693234286650636,5.0
2,34,35.50126010159614,5.999
3,34,28.457876402107228,6.0
4,34,26.02497680801479,6.003
5,34,30.979393671177775,7.0
1,35,17.828537377613486,3.003
2,35,27.259925795619743,4.001
3,35,26.001986427888983,5.999
4,35,39.56409502318067,10.999
5,35,19.36334325150714,7.001
1,36,24.700917441988498,5.005
2,36,26.454617505874563,6.002
3,36,35.87494287261357,6.001
4,36,21.508897754377355,11.003
5,36,26.689718719369154,9.0
1,37,38.45451815356817,6.001
2,37,24.225260935588967,4.002
3,37,37.74370738833014,7.999
4,37,35.07751873067112,10.001
5,37,40.16058749595246,9.001
1,38,39.535025370601026,5.001
2,38,38.82294154456052,3.001
3,38,22.14291345873562,8.003
4,38,42.76697880827379,7.003
5,38,66.27982196111805,10.001
1,39,38.85009012861083,6.001
2,39,23.225357707313446,6.001
3,39,31.89720813344151,8.0
4,39,35.92878684964736,10.001
5,39,23.702775053118458,7.999
1,40,17.197730828278818,4.003
2,40,27.50635358189202,4.001
3,40,43.180225955776955,8.0
4,40,102.4265182878232,4.0
5,40,42.840658240774,8.0
1,41,28.26563855269601,6.002
2,41,26.362457780955147,4.0
3,41,32.12519896482514,6.0
4,41,26.626818026726948,6.001
5,41,27.796424139795555,7.0
1,42,67.11703343956846,3.0
2,42,22.322955698876758,4.001
3,42,38.0345937636258,11.0
4,42,23.249167397828593,6.0
5,42,35.699828425227295,6.0
1,43,37.41737635527488,3.0
2,43,32.16119248390643,10.999
3,43,21.763245944317916,9.0
4,43,34.22299420239336,8.0
5,43,55.152820125125864,9.0
1,44,39.89699062172599,5.0
2,44,55.05993950319884,7.0
3,44,38.66570251245993,8.0
4,44,29.62127688417355,7.001
5,44,33.848928745289946,9.001
1,45,20.624022853419547,4.001
2,45,56.735127419874786,8.0
3,45,23.181721977783333,6.0
4,45,23.80326190882507,5.002
