Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
0,0.938809614332695,5.0,5.0,5,1
26,1.2799396699104248,5.0,5.0,5,1
63,1.3898004388319007,5.0,5.0,5,1
0,0.8162215609749588,5.0,8.0,5,2
14,1.30442786334506,5.0,8.0,5,2
37,1.5207901773918406,5.0,8.0,5,2
341,1.6551824521592962,6.0,8.0,5,2
482,1.8422913676281172,7.0,8.0,5,2
2543,1.8788680276127216,8.0,8.0,5,2
0,0.8506328943241591,5.0,5.0,5,3
24,1.2213330472176858,5.0,5.0,5,3
0,0.9432410633417161,5.0,4.003,5,4
56,1.1848496738710037,6.0,4.003,5,4
68,1.2093736453863109,5.0,4.003,5,4
10206,1.2204370937493874,4.0,4.003,5,4
10207,1.2093736453863109,5.0,4.003,5,4
10256,1.2204370937493874,4.0,4.003,5,4
10258,1.2093736453863109,5.0,4.003,5,4
10281,1.2204370937493874,4.0,4.003,5,4
10743,1.2708418228386118,5.0,4.003,5,4
11531,1.3769000224466819,4.0,4.003,5,4
0,1.0391255569893303,5.0,6.0,5,5
57,1.309667103069218,6.0,6.0,5,5
0,0.7490211699763198,5.0,6.0,5,6
20,0.9553358370990874,5.0,6.0,5,6
44,1.0425957539330404,5.0,6.0,5,6
100,1.0808596946234874,5.0,6.0,5,6
253,1.098786416809225,5.0,6.0,5,6
255,1.0808596946234874,5.0,6.0,5,6
302,1.098786416809225,5.0,6.0,5,6
463,1.1346222604230591,4.0,6.0,5,6
33682,1.1874203949980162,5.0,6.0,5,6
33860,1.2761389224210649,6.0,6.0,5,6
0,0.7838984177682858,5.0,4.0,5,7
26,1.0154341766690387,5.0,4.0,5,7
63,1.0585810600326682,5.0,4.0,5,7
64,1.1981235210951269,5.0,4.0,5,7
559,1.3110313690149737,6.0,4.0,5,7
5032,1.3149286408503829,5.0,4.0,5,7
5264,1.3110313690149737,6.0,4.0,5,7
5267,1.3149286408503829,5.0,4.0,5,7
5279,1.3110313690149737,6.0,4.0,5,7
5280,1.3149286408503829,5.0,4.0,5,7
5319,1.3110313690149737,6.0,4.0,5,7
5320,1.3149286408503829,5.0,4.0,5,7
5326,1.3110313690149737,6.0,4.0,5,7
5328,1.3149286408503829,5.0,4.0,5,7
5329,1.3110313690149737,6.0,4.0,5,7
5331,1.3149286408503829,5.0,4.0,5,7
5332,1.3110313690149737,6.0,4.0,5,7
