Init_active,Max_size,Replicate,Final_size,Pos_effects
10,20,56,16,11
15,20,56,15,11
20,20,56,17,11
1,20,57,11,6
5,20,57,12,6
10,20,57,15,6
15,20,57,12,6
20,20,57,16,6
1,20,58,11,7
5,20,58,11,7
10,20,58,14,7
15,20,58,15,7
20,20,58,18,7
1,20,59,12,9
5,20,59,12,9
10,20,59,13,9
15,20,59,16,9
20,20,59,18,9
1,20,60,10,10
5,20,60,12,10
10,20,60,13,10
15,20,60,16,10
20,20,60,19,10
1,20,61,12,11
5,20,61,14,11
10,20,61,14,11
15,20,61,18,11
20,20,61,17,11
1,20,62,17,14
5,20,62,16,14
10,20,62,17,14
15,20,62,15,14
20,20,62,18,14
1,20,63,8,9
5,20,63,14,9
10,20,63,13,9
15,20,63,16,9
20,20,63,17,9
1,20,64,11,9
5,20,64,13,9
10,20,64,17,9
15,20,64,16,9
20,20,64,20,9
1,20,65,11,8
5,20,65,10,8
10,20,65,15,8
15,20,65,13,8
20,20,65,17,8
1,20,66,14,11
5,20,66,14,11
10,20,66,17,11
15,20,66,17,11
20,20,66,17,11
1,20,67,13,13
5,20,67,15,13
10,20,67,16,13
15,20,67,16,13
20,20,67,19,13
1,20,68,14,12
5,20,68,15,12
10,20,68,15,12
15,20,68,16,12
20,20,68,17,12
1,20,69,8,10
5,20,69,8,10
10,20,69,12,10
15,20,69,14,10
20,20,69,17,10
1,20,70,10,12
5,20,70,13,12
10,20,70,16,12
15,20,70,19,12
20,20,70,15,12
1,20,71,15,12
5,20,71,14,12
10,20,71,16,12
15,20,71,13,12
20,20,71,17,12
1,20,72,10,9
5,20,72,11,9
10,20,72,13,9
15,20,72,14,9
20,20,72,18,9
1,20,73,13,12
5,20,73,11,12
10,20,73,14,12
15,20,73,18,12
20,20,73,19,12
1,20,74,12,12
5,20,74,13,12
10,20,74,15,12
15,20,74,14,12
20,20,74,18,12
1,20,75,15,10
5,20,75,13,10
10,20,75,15,10
15,20,75,14,10
20,20,75,18,10
1,20,76,13,8
5,20,76,12,8
10,20,76,10,8
15,20,76,14,8
20,20,76,17,8
1,20,77,15,13
5,20,77,14,13
10,20,77,17,13
15,20,77,19,13
20,20,77,19,13
1,20,78,12,9
5,20,78,11,9
10,20,78,14,9
15,20,78,16,9
20,20,78,16,9
1,20,79,10,10
5,20,79,13,10
10,20,79,14,10
15,20,79,17,10
20,20,79,17,10
1,20,80,12,13
5,20,80,15,13
10,20,80,15,13
15,20,80,17,13
20,20,80,19,13
1,20,81,10,11
5,20,81,13,11
10,20,81,16,11
15,20,81,14,11
20,20,81,16,11
1,20,82,10,7
5,20,82,13,7
10,20,82,10,7
15,20,82,14,7
20,20,82,17,7
1,20,83,12,8
5,20,83,14,8
10,20,83,12,8
15,20,83,14,8
20,20,83,16,8
1,20,84,12,11
5,20,84,15,11
10,20,84,15,11
15,20,84,18,11
20,20,84,17,11
1,20,85,10,8
5,20,85,13,8
10,20,85,14,8
15,20,85,15,8
20,20,85,13,8
1,20,86,12,9
5,20,86,12,9
10,20,86,13,9
15,20,86,17,9
20,20,86,15,9
1,20,87,10,9
5,20,87,10,9
10,20,87,15,9
15,20,87,13,9
20,20,87,19,9
1,20,88,5,3
5,20,88,10,3
10,20,88,10,3
15,20,88,12,3
20,20,88,19,3
1,20,89,16,12
5,20,89,13,12
10,20,89,18,12
15,20,89,17,12
20,20,89,18,12
1,20,90,12,11
5,20,90,15,11
10,20,90,18,11
15,20,90,19,11
20,20,90,18,11
1,20,91,12,10
5,20,91,11,10
10,20,91,13,10
15,20,91,16,10
20,20,91,19,10
1,20,92,12,7
5,20,92,11,7
10,20,92,13,7
15,20,92,17,7
20,20,92,17,7
1,20,93,10,7
5,20,93,14,7
10,20,93,13,7
15,20,93,13,7
20,20,93,14,7
1,20,94,10,6
5,20,94,10,6
10,20,94,11,6
15,20,94,13,6
20,20,94,19,6
1,20,95,14,11
5,20,95,12,11
10,20,95,14,11
15,20,95,16,11
20,20,95,18,11
1,20,96,17,13
5,20,96,16,13
10,20,96,16,13
15,20,96,17,13
20,20,96,20,13
1,20,97,14,12
5,20,97,12,12
10,20,97,13,12
15,20,97,17,12
20,20,97,19,12
1,20,98,13,13
5,20,98,13,13
10,20,98,16,13
15,20,98,16,13
20,20,98,17,13
1,20,99,12,8
5,20,99,14,8
10,20,99,11,8
15,20,99,14,8
20,20,99,14,8
1,20,100,8,9
5,20,100,12,9
10,20,100,15,9
15,20,100,11,9
20,20,100,18,9
