Loci,Replicate,Final_fitness,Final_genome_size
1,1,25.269001102647714,4.999
25,1,39.647029510068705,27.0
50,1,31.870443849524392,50.999
75,1,23.202298946706463,73.998
100,1,35.415614616307295,98.0
1,2,15.995721834539426,4.006
25,2,43.25734099839401,27.0
50,2,33.069933188045106,50.0
75,2,33.80885154017041,75.0
100,2,27.774792977151513,98.999
1,3,192.50778033787512,7.0
25,3,43.88469299416591,25.0
50,3,37.67066519819748,49.0
75,3,39.3892298861436,74.0
100,3,44.16779136798155,99.0
1,4,53.3030102735985,4.0
25,4,30.115330469218243,26.0
50,4,56.91549354299658,49.0
75,4,28.31399742177542,71.0
100,4,99.72220730699395,97.0
1,5,25.092069760459257,7.001
25,5,32.53364657943076,27.001
50,5,45.73188810940643,48.0
75,5,34.739212705372196,74.0
100,5,27.624922296142344,98.0
1,6,36.01335191777758,8.0
25,6,32.65508874679964,23.0
50,6,38.149355989220716,51.0
75,6,52.625781416032574,74.0
100,6,55.380432258827796,95.999
1,7,31.530826103703205,7.001
25,7,46.42435216112928,26.0
50,7,25.578981011779106,51.999
75,7,72.36033041103647,76.0
100,7,36.11964308120569,97.0
1,8,30.029918640278165,7.001
25,8,26.500198214559937,27.0
50,8,70.40465611933602,49.0
75,8,68.6330396606206,74.998
100,8,47.27649189947359,94.998
1,9,23.960987430198262,4.0
25,9,30.70002174063959,26.999
50,9,53.39812665713368,54.0
75,9,101.79828809502563,75.0
100,9,44.15546959610939,100.0
1,10,32.43053581946349,5.0
25,10,65.85888348936557,29.0
50,10,29.04517636292785,50.0
75,10,39.93359376736167,74.999
100,10,36.404184944930975,98.0
1,11,91.83466684444056,7.0
25,11,45.03404068716986,26.002
50,11,37.12481560783055,48.0
75,11,46.54592069815209,76.0
100,11,49.64594792037528,99.0
1,12,36.14985554902463,5.0
25,12,30.991196037434,26.003
50,12,40.55002149556782,51.002
75,12,55.23792387071811,76.999
100,12,27.086035679131335,99.997
1,13,91.82438109235072,7.0
25,13,58.258070823600356,26.0
50,13,60.67878758109073,47.0
75,13,41.708950737205186,76.0
100,13,48.99515915621551,94.0
1,14,38.83864419553637,10.001
25,14,100.66966454293777,31.0
50,14,30.517263906991165,47.0
75,14,49.389377352242136,74.001
100,14,33.82319344687195,99.0
1,15,24.643029880049767,5.0
25,15,30.3094491475619,27.002
50,15,55.964293763044864,50.001
75,15,35.33951621816511,75.0
100,15,41.09852619470575,96.999
1,16,33.35359915598527,5.0
25,16,39.14321608672032,31.0
50,16,24.340706595284164,48.0
75,16,41.45150931779764,73.997
100,16,107.70043318697424,96.999
1,17,47.361293256258975,5.0
25,17,36.9910052221216,25.0
50,17,47.96084839260823,50.0
75,17,45.1523364632923,73.0
100,17,47.08516509895518,93.999
1,18,90.2804232869154,7.0
25,18,42.16068000465067,23.0
50,18,51.60229864135793,47.0
75,18,61.691989037699905,73.999
100,18,29.748296674650753,98.999
1,19,27.643763632694213,3.999
25,19,29.325825546868312,28.002
50,19,34.72477701662754,49.0
75,19,36.1446017109449,72.998
100,19,65.96637158373261,98.999
1,20,29.41807060025985,6.0
25,20,58.63417084337833,27.0
50,20,35.10468277542627,47.0
75,20,47.32720214777647,73.0
100,20,46.58171667557239,98.0
1,21,35.870452933039374,3.001
25,21,26.48424557119032,25.998
50,21,42.33438333499114,49.0
75,21,33.40059180924341,73.003
100,21,32.840906423245215,97.0
1,22,44.21590002312945,7.0
25,22,28.346373344275023,24.0
50,22,58.07846288439056,50.0
75,22,35.43881409084413,72.999
100,22,47.75419121277869,96.999
1,23,46.8492349632836,7.0
25,23,21.50390308439226,26.001
50,23,35.10779296967006,48.997
75,23,23.716912403484034,74.0
100,23,50.38804522037972,99.0
1,24,26.612998971855035,6.001
25,24,33.67211236179468,27.001
50,24,56.721121591470386,43.0
75,24,35.8333013200444,72.0
100,24,36.594044456186005,99.0
1,25,26.083038632730986,4.001
25,25,52.86101310723205,27.999
50,25,56.757199513920156,53.0
75,25,26.349038852245265,74.0
100,25,40.753523669595886,97.999
1,26,27.23861185196101,6.003
25,26,44.58630159772411,25.001
50,26,47.83152740729912,48.0
75,26,67.79882354951985,74.0
100,26,32.4805255759771,96.0
1,27,40.835248897202675,7.0
25,27,42.86293349342119,26.0
50,27,38.046994208687494,48.0
75,27,66.09726548385349,74.0
100,27,38.45882181646842,97.0
1,28,29.7474382458897,5.0
25,28,81.2553199181788,28.001
50,28,62.042982433236304,50.0
75,28,33.39605189543975,73.001
100,28,44.15546959610939,100.0
