Loci,Replicate,Final_fitness,Final_genome_size
6,28,1.290987351700679,5.0
7,28,1.3748094434895934,8.992
8,28,1.3714062841220984,8.0
9,28,1.4511228074199813,11.0
10,28,1.6957089514067174,10.998
5,29,1.3070443882236302,6.001
6,29,1.186152915424878,7.0
7,29,1.5143296026762412,9.001
8,29,1.5104212796198728,6.998
9,29,1.6098820414136479,12.0
10,29,1.6415246132793264,11.995
5,30,1.4367220943962056,6.0
6,30,1.4369622966504425,6.003
7,30,1.3744848084819412,7.0
8,30,1.6633143489621018,11.0
9,30,1.3559500486475584,8.998
10,30,1.4689586777576056,9.0
5,31,1.8411069150501436,8.0
6,31,1.4102664289813542,6.0
7,31,1.2667884359153494,8.0
8,31,1.5590483796343475,8.0
9,31,1.4679445125743924,11.0
10,31,1.4229430391202484,10.0
5,32,1.261913543168704,5.002
6,32,1.5164845317887121,6.0
7,32,1.5395179908616958,10.0
8,32,1.48710206381252,8.0
9,32,1.3845988594420224,10.0
10,32,1.5122479086057656,10.0
5,33,1.4730466222475427,8.004
6,33,1.3998862658938036,7.0
7,33,1.3501001921093962,7.998
8,33,1.3501001921093962,7.998
9,33,1.267514349081875,10.0
10,33,1.379660498589915,11.0
5,34,1.2534379519671976,5.0
6,34,1.2831108398614308,7.251
7,34,1.4938976450404906,6.0
8,34,1.3339728627802037,8.0
9,34,1.2231511130873223,10.0
10,34,1.2448131738197914,9.0
5,35,1.4816494655695518,6.998
6,35,1.259777387271518,5.998
7,35,1.343092426309618,7.004
8,35,1.6050809876862904,8.0
9,35,1.369031913454587,7.997
10,35,1.6659889452398877,11.0
5,36,1.4067985588314138,7.0
6,36,1.4067985588314138,6.998
7,36,1.4288724527147307,8.0
8,36,1.417526302848137,7.0
9,36,1.705910744474877,9.0
10,36,1.5654090820671054,8.999
5,37,1.2311975125893924,4.003
6,37,1.4157121548342104,7.999
7,37,1.2274012452690028,7.0
8,37,1.257061582100567,9.0
9,37,1.3023878432377909,10.0
10,37,1.8077004044915466,10.0
5,38,1.4946743301132543,9.0
6,38,1.4901924354586866,6.0
7,38,1.3500037409033285,9.0
8,38,1.8154631871867335,10.938
9,38,1.5154663687924057,8.0
10,38,1.31109904442975,10.0
5,39,1.5712795825051997,6.0
6,39,1.5712795825051997,5.999
7,39,1.495392267609592,6.998
8,39,1.3894406598509585,6.0
9,39,1.4585524838342792,9.999
10,39,1.3650504518832032,9.998
5,40,1.7493421429713027,8.0
6,40,1.6376223009201791,8.0
7,40,1.559802088503271,8.708
8,40,1.550116823947926,8.0
9,40,1.3312100927666393,8.0
10,40,1.4233544292165992,11.0
5,41,1.261244352153398,5.004
6,41,1.2371737083613266,7.0
7,41,1.5296755957788597,6.001
8,41,1.6662573298450047,9.0
9,41,1.4756201264728104,8.994
10,41,1.562426509283368,11.0
5,42,1.3835845056492833,6.0
6,42,1.3381412258898766,6.001
7,42,1.3381412258898766,6.002
8,42,1.3866932070172266,8.997
9,42,1.6355959324645333,11.0
10,42,2.0311838409246112,10.0
5,43,1.1845061833700214,5.0
6,43,1.4430284887974534,7.0
7,43,1.5680480757293254,9.0
8,43,1.5512100864348943,9.001
9,43,1.4111136793156052,9.0
10,43,1.2613727344929382,9.0
5,44,1.5404900669734094,6.0
6,44,1.2883873406153665,7.0
7,44,1.375394763660247,8.003
8,44,1.519495727040309,8.999
9,44,1.4761762958304054,11.0
10,44,1.4635599558787125,10.0
5,45,1.3178744712637676,6.002
6,45,1.2600585994685536,8.0
7,45,1.4495165015438851,8.0
8,45,1.386039084588628,8.987
9,45,1.3681343685133593,8.001
10,45,1.6005833327262091,11.0
5,46,1.7336746898523405,9.0
6,46,1.575071570295424,7.0
7,46,1.5687389973018295,6.0
8,46,1.4792750620817339,6.0
9,46,1.9759459196004867,8.0
10,46,2.0823109413859084,12.0
5,47,1.4125192704122738,6.0
6,47,1.5913612269551098,8.0
7,47,1.6487366646688595,9.0
8,47,1.7636991313510784,8.0
9,47,1.707747110963874,9.0
10,47,1.7506615979798272,11.0
5,48,1.6269884076716266,7.002
6,48,1.5380389987963745,5.999
7,48,1.594027673868586,7.002
8,48,1.7100117237826362,8.999
9,48,1.5151884931649855,9.0
10,48,1.5033403261691685,10.996
5,49,1.3590544644926652,5.0
6,49,1.4895265062623826,7.0
7,49,1.3280537153496446,6.0
8,49,1.3895132108045156,9.0
9,49,1.6694970937740847,10.002
10,49,1.2564764934645214,10.0
5,50,1.4846328632834516,5.0
6,50,1.4406496923966632,5.0
7,50,1.4489516252469814,8.0
8,50,1.4489516252469814,8.0
9,50,1.7021900082087245,8.0
10,50,1.5239448747807727,8.0
5,51,1.6043617353198996,7.0
6,51,1.66842343057242,8.0
7,51,1.63686818469727,8.0
8,51,1.5612616675342044,6.006
9,51,1.7017336530463154,10.0
10,51,1.6643500827396975,11.0
5,52,1.224479644253049,4.0
6,52,1.3100798564629668,7.0
7,52,1.4239318212848429,8.0
8,52,1.2165256261989235,8.997
9,52,1.4292747967054664,9.0
10,52,1.5842132637923512,12.0
